ID_Adherent,Nom,Ville,Section,Tarif (€),Statut,Date_Inscription
ADH-1000,Nathan Petit,Saint-Clément-de-Rivière,Fitness,250,Payé,2026-03-10
ADH-1001,Manon Robert,Saint-Gély-du-Fesc,Danse,250,Payé,2026-03-03
ADH-1002,Nathan Laurent,Saint-Gély-du-Fesc,Judo,150,Payé,2026-07-07
ADH-1003,Hugo Durand,Saint-Gély-du-Fesc,Football,250,En attente,2026-08-24
ADH-1004,Manon Robert,Saint-Clément-de-Rivière,Danse,180,Payé,2026-06-27
ADH-1005,Chloé Dubois,Grabels,Football,250,Payé,2026-03-19
ADH-1006,Manon Thomas,Saint-Gély-du-Fesc,Basketball,250,Incomplet,2026-04-27
ADH-1007,Léa Robert,Grabels,Football,180,Payé,2026-04-30
ADH-1008,Emma Dubois,Grabels,Fitness,250,Payé,2026-07-22
ADH-1009,Léa Bernard,Saint-Gély-du-Fesc,Football,180,Payé,2026-05-17
ADH-1010,Enzo Martin,Saint-Gély-du-Fesc,Football,250,En attente,2026-06-11
ADH-1011,Camille Richard,Saint-Gély-du-Fesc,Fitness,180,Payé,2026-03-17
ADH-1012,Théo Martin,Montpellier,Judo,250,En attente,2026-08-15
ADH-1013,Camille Thomas,Saint-Clément-de-Rivière,Football,250,En attente,2026-02-04
ADH-1014,Nathan Petit,Grabels,Fitness,150,Payé,2026-01-01
ADH-1015,Théo Thomas,Grabels,Danse,150,Payé,2026-02-09
ADH-1016,Enzo Thomas,Montpellier,Basketball,250,Payé,2026-03-05
ADH-1017,Nathan Robert,Saint-Gély-du-Fesc,Basketball,250,Payé,2026-05-30
ADH-1018,Théo Durand,Grabels,Football,220,Payé,2026-03-01
ADH-1019,Emma Petit,Grabels,Judo,180,Payé,2026-03-05
ADH-1020,Théo Bernard,Saint-Gély-du-Fesc,Judo,220,Payé,2026-04-03
ADH-1021,Camille Moreau,Montpellier,Danse,150,Payé,2026-03-13
ADH-1022,Camille Robert,Grabels,Football,150,Payé,2026-01-11
ADH-1023,Emma Petit,Montpellier,Basketball,150,Payé,2026-04-15
ADH-1024,Nathan Dubois,Saint-Gély-du-Fesc,Judo,150,Payé,2026-08-17
ADH-1025,Hugo Martin,Grabels,Football,250,Payé,2026-01-14
ADH-1026,Chloé Bernard,Saint-Gély-du-Fesc,Judo,150,Payé,2026-03-01
ADH-1027,Manon Petit,Grabels,Fitness,250,Payé,2026-01-30
ADH-1028,Emma Richard,Montpellier,Judo,250,Payé,2026-02-04
ADH-1029,Léa Laurent,Grabels,Basketball,150,En attente,2026-08-01
ADH-1030,Chloé Richard,Grabels,Tennis,150,Payé,2026-06-14
ADH-1031,Emma Laurent,Montpellier,Danse,180,Incomplet,2026-01-05
ADH-1032,Emma Laurent,Grabels,Danse,220,Payé,2026-03-24
ADH-1033,Chloé Dubois,Grabels,Basketball,150,Payé,2026-05-03
ADH-1034,Nathan Moreau,Saint-Gély-du-Fesc,Judo,180,En attente,2026-03-19
ADH-1035,Manon Robert,Grabels,Football,180,Payé,2026-06-03
ADH-1036,Emma Robert,Montpellier,Judo,220,Payé,2026-03-03
ADH-1037,Manon Laurent,Grabels,Basketball,250,Payé,2026-05-12
ADH-1038,Théo Moreau,Saint-Gély-du-Fesc,Danse,150,Payé,2026-03-30
ADH-1039,Lucas Moreau,Saint-Gély-du-Fesc,Judo,220,Payé,2026-08-25
ADH-1040,Nathan Moreau,Montpellier,Danse,150,Payé,2026-02-11
ADH-1041,Manon Martin,Saint-Gély-du-Fesc,Football,180,En attente,2026-03-30
ADH-1042,Manon Dubois,Grabels,Danse,180,Payé,2026-05-26
ADH-1043,Hugo Martin,Saint-Clément-de-Rivière,Danse,250,Payé,2026-02-09
ADH-1044,Manon Thomas,Montpellier,Tennis,180,Payé,2026-03-13
ADH-1045,Hugo Martin,Montpellier,Tennis,180,Payé,2026-02-08
ADH-1046,Enzo Laurent,Grabels,Fitness,220,Payé,2026-04-14
ADH-1047,Nathan Laurent,Grabels,Tennis,150,Payé,2026-01-14
ADH-1048,Théo Durand,Saint-Gély-du-Fesc,Danse,150,Payé,2026-02-01
ADH-1049,Théo Dubois,Saint-Gély-du-Fesc,Basketball,220,Payé,2026-06-28
ADH-1050,Emma Martin,Saint-Gély-du-Fesc,Danse,250,Payé,2026-05-05
ADH-1051,Nathan Durand,Montpellier,Basketball,150,Payé,2026-06-15
